protocol,action_type,call_block_time,block_number,call_tx_hash,symbol,user,dai_unint
maker,join_dai_dsr,2019/11/18 16:07:08,8.957391e+06,b4d6b6ef29a500afff2189e3a67438661cd20318af5a8b6d849f91dfa06c7f15,DAI,d0386cfd9b61019ce0b1bcc9e35b4e2db7f9e3b0,20
maker,join_dai_dsr,2019/11/18 16:07:35,8.957394e+06,14b49c59807469e19b97973b9e44eb254399a6e4c932f35d6d459a455b49531b,DAI,80d6c4a0a09f25f6a400e08c95227f5074c61e57,20
maker,join_dai_dsr,2019/11/18 16:07:47,8.957395e+06,c158d19bb9f817fb004b7b09fe3e4bd1be073a4a161a7908b653b7f929e097d3,DAI,adab30c23d34469d2b6f7d8f13a92e52d65d72ae,33
maker,join_dai_dsr,2019/11/18 16:08:33,8.957398e+06,96e68b63eaeb2774e7ffbb635d452f89cea225f8c9f30e1e1ab2bf052b535291,DAI,2f19883a1f8212e8f3b7f72f2b37f8440df55d23,0.72
maker,join_dai_dsr,2019/11/18 16:08:33,8.957398e+06,6cb444c3ed36636e9d729e80f54a8ea2d9eb1e32afeb7143675382cf475b6bb0,DAI,7f7c311ad65e56eede7238258f5847133a06ebea,1000
maker,join_dai_dsr,2019/11/18 16:08:33,8.957398e+06,b166c440e9216cd69e5a6976d3a3898c800d4f7cfb9dd3b94aac16e3b9f9046e,DAI,f244e81c8ff170d80d70c66c82325a90f6b4f42e,20
maker,join_dai_dsr,2019/11/18 16:08:57,8.957402e+06,15a01b31c6b63139f26f5a9bd00e6ae3123634162558eade8d971f01b8ea115a,DAI,a39f923e175ffa142ec2ac0e2e04cdeac0f8c73c,230.5295387583242
maker,join_dai_dsr,2019/11/18 16:12:16,8.95742e+06,3d7b1d7fff558e4687f46e290bc2940389f9a53c84052a49f43569bf0616f0e8,DAI,e9c245293dac615c11a5bf26fcec91c3617645e4,55.86369170577459
maker,join_dai_dsr,2019/11/18 16:13:21,8.957421e+06,c251b38d1aeca0fafe78902edfa899f1eaf9693f05ce5e599599255f7062f243,DAI,24acfb5dd795b35f7687f3c0fe965e92cff56c4d,20
maker,join_dai_dsr,2019/11/18 16:13:41,8.957424e+06,5fb75d826ceb978624ed2e32b910b30536e4c87db8cb29c69d2b9e22b7c81252,DAI,2c5578473ea0feee5604ce94dbd489c60be79038,10
maker,join_dai_dsr,2019/11/18 16:14:26,8.957429e+06,9d372434dfd2acefb1bc17c0037a2f3d52e57271668115604ba8e8ddd09d1f10,DAI,31abcd1aeb6ea4a71560c6f2dca0ad852d16ba31,400
maker,join_dai_dsr,2019/11/18 16:14:26,8.957429e+06,28dd0c22e35cec02c43858bd6335fda10181ecdab92851cbf3da80e941180b10,DAI,b240998ace46d51fd88df65d6972cb144135e8b7,20
maker,join_dai_dsr,2019/11/18 16:15:03,8.957432e+06,3f0d75fb6cf19ae37df7921016f343c1b3db25d8900f051b54995a7765203d51,DAI,0183d9be08db4024c2dc9aec10b9526fc6adeef7,45
maker,join_dai_dsr,2019/11/18 16:17:35,8.957439e+06,caac017c874d9dce2e7194911eb88881f2e7e2460895fed375f26f9ec57be2a3,DAI,9b4c75ce8d7006620df39e8757ade75d6434a6fe,25000
maker,join_dai_dsr,2019/11/18 16:18:32,8.957445e+06,2326d399169e05923c491608cf6dceb330af7ac576055d006cfae1b8a5fecf5e,DAI,14db9e882efc691ebe5dd28e53653dad71a71d61,7.956521724556749
maker,join_dai_dsr,2019/11/18 16:18:49,8.957446e+06,a37a9c466e79e5f35c90c2c142265d91145ab9d9214c66d69612eeb5622763b3,DAI,7d6105d75c5e6a40791a50a52a92365545e9b112,132
maker,join_dai_dsr,2019/11/18 16:20:53,8.957452e+06,2710f408c291c4cf2c4a738d1abd8ede27d4d0a8b0d8eb5aeb1264226964def3,DAI,b93f14636678d680dcbbed20c77f2b6220b52c39,1630.5394511634775
maker,join_dai_dsr,2019/11/18 16:20:55,8.957453e+06,318d40710efe0cd28f8007d61aa7d3b8a55d0eddf66687a1bbaa6f9665eb51cc,DAI,0951837c02292d7645c6e37a5d0cca561c5ec475,200
maker,join_dai_dsr,2019/11/18 16:20:55,8.957453e+06,45a7598fd15aacf3c3a9b9c2317c49c17289417f316b9044b03893ba439fcf33,DAI,e896bcce9fbb3341a1e98f98ec7a6ffbdea35060,20
maker,join_dai_dsr,2019/11/18 16:22:40,8.957459e+06,e0d595ef72046953267d8343e16637a83b628b422378c811043a4b66011de87f,DAI,d353bbf69d0dfb2cd6798dfff40bb31ae565ccc2,19.661999223913458
maker,join_dai_dsr,2019/11/18 16:23:08,8.95746e+06,3950a44a90f5e7c1818535d5b7e7f1a17edaa4f8f5da76c5f4c2512d2e8eb307,DAI,9d8777a884aa79d01d6ed5c78016f13b3fb63783,200.54429113022027
maker,join_dai_dsr,2019/11/18 16:28:20,8.957486e+06,4b793bb9affcba0b754f233855441c505e3eccc22cda2f540585c48aaae415b1,DAI,7a74fb6bd364b9b5ef69605a3d28327da8087aa0,142.628605
maker,join_dai_dsr,2019/11/18 16:28:20,8.957486e+06,7a874a51afbda373bf962c9bba4b2b00085567cb2f102b1397d92ab10b99a543,DAI,5641519cc28def80d631baa28b949f17a6a22ad1,20
maker,join_dai_dsr,2019/11/18 16:34:30,8.957509e+06,9aa03beadecf0a3f016c9b0a7435a9d8b540823fd4ddcc1e3901b4b95cdfecdc,DAI,32000b565101e495d6e4b531d8251e0a0b3c7341,1000
